timestamp,station_id,name,bikes_available,docks_available
2026-08-18T12:03+00:00,smoove:381,Maununneva,3,11
2026-08-18T12:03+00:00,smoove:140,Verkatehtaanpuisto,24,0
2026-08-18T12:03+00:00,smoove:261,Asentajanpuisto,10,6
2026-08-18T12:03+00:00,smoove:382,Hakuninmaa,4,14
2026-08-18T12:03+00:00,smoove:020,Kaisaniemenpuisto,13,11
2026-08-18T12:03+00:00,smoove:141,Intiankatu,2,14
2026-08-18T12:03+00:00,smoove:262,Siilitie (M),17,5
2026-08-18T12:03+00:00,smoove:383,Kuninkaantammi,1,19
2026-08-18T12:03+00:00,smoove:142,Koskelantie,1,13
2026-08-18T12:03+00:00,smoove:021,Töölönlahdenkatu,23,17
2026-08-18T12:03+00:00,smoove:263,Herttoniemen kirkko,0,16
2026-08-18T12:03+00:00,smoove:384,Kalannintie,2,12
2026-08-18T12:03+00:00,smoove:316,Punakiventie,12,4
2026-08-18T12:03+00:00,smoove:559,Pohjankulma,2,22
2026-08-18T12:03+00:00,smoove:317,Haapasaarentie,2,16
2026-08-18T12:03+00:00,smoove:318,Vuosaaren puistopolku,1,13
2026-08-18T12:03+00:00,smoove:319,Purjetie,3,15
2026-08-18T12:03+00:00,smoove:551,Tietäjä,7,13
2026-08-18T12:03+00:00,smoove:310,Halkaisijantie,4,14
2026-08-18T12:03+00:00,smoove:553,Metsänneidonpolku,9,9
2026-08-18T12:03+00:00,smoove:311,Ramsinniementie,0,18
2026-08-18T12:03+00:00,smoove:312,Meri-Rastilan tori,5,11
2026-08-18T12:03+00:00,smoove:555,Kalevalantie,22,0
2026-08-18T12:03+00:00,smoove:313,Rastila (M),7,9
2026-08-18T12:03+00:00,smoove:314,Lokitie,2,16
2026-08-18T12:03+00:00,smoove:557,Louhentori,2,14
2026-08-18T12:03+00:00,smoove:315,Vuosaaren liikuntapuisto,20,0
2026-08-18T12:03+00:00,smoove:206,Ruskeasuon varikko,3,19
2026-08-18T12:03+00:00,smoove:327,Humikkalankuja,6,10
2026-08-18T12:03+00:00,smoove:207,Vanha Viertotie,6,10
2026-08-18T12:03+00:00,smoove:328,Lallukankuja,3,9
2026-08-18T12:03+00:00,smoove:208,Valimotie,28,0
2026-08-18T12:03+00:00,smoove:329,Kurkimäki,0,16
2026-08-18T12:03+00:00,smoove:209,Takomotie,5,9
2026-08-18T12:03+00:00,smoove:561,Koivu-Mankkaa,1,19
2026-08-18T12:03+00:00,smoove:320,Koukkusaarentie,3,13
2026-08-18T12:03+00:00,smoove:563,Mankkaanlaaksontie,5,21
2026-08-18T12:03+00:00,smoove:321,Vartioharjuntie,2,12
2026-08-18T12:03+00:00,smoove:200,Länsiterminaali,11,9
2026-08-18T12:03+00:00,smoove:201,Länsisatamankuja,7,7
2026-08-18T12:03+00:00,smoove:322,Rukatunturintie,28,0
2026-08-18T12:03+00:00,smoove:565,Mankkaanaukio,9,5
2026-08-18T12:03+00:00,smoove:202,Merihaka,6,10
2026-08-18T12:03+00:00,smoove:323,Sallatunturintie,7,9
2026-08-18T12:03+00:00,smoove:203,Opastinsilta,25,15
2026-08-18T12:03+00:00,smoove:324,Sinkilätie,32,0
2026-08-18T12:03+00:00,smoove:204,A.I. Virtasen aukio,7,17
2026-08-18T12:03+00:00,smoove:325,Mellunmäki (M),27,0
2026-08-18T12:03+00:00,smoove:205,Ilmalan asema,3,13
2026-08-18T12:03+00:00,smoove:326,Tuukkalantie,0,16
2026-08-18T12:03+00:00,smoove:217,Marttila,1,15
2026-08-18T12:03+00:00,smoove:338,Jakomäentie,0,16
2026-08-18T12:03+00:00,smoove:218,Pohjois-Haagan asema,2,14
2026-08-18T12:03+00:00,smoove:339,Alppikylä,8,6
2026-08-18T12:03+00:00,smoove:219,Näyttelijäntie,3,13
2026-08-18T12:03+00:00,smoove:330,Kontula (M),0,20
2026-08-18T12:03+00:00,smoove:573,Urheilupuisto (M),27,1
2026-08-18T12:03+00:00,smoove:210,Pajamäki,2,10
2026-08-18T12:03+00:00,smoove:331,Lettopolku,0,16
2026-08-18T12:03+00:00,smoove:211,Haagan tori,7,9
2026-08-18T12:03+00:00,smoove:332,Kontulankaari,2,14
